source_file,page_number,account_last4,post_date,trans_date,ref,description,amount,type,matched_text,is_complete,is_duplicate,requires_review
Sample2025 Credit Card Statements.pdf,3,8897,2024-12-19,12/18,5389,USPS PO 0518780457 CRESCENT CITY CA,73.0,Purchase,12/19 12/18 5389 USPS PO 0518780457 CRESCENT CITY CA $73.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2024-12-23,12/19,1157,ELK VALLEY FUEL MART CRESCENT CITY CA,42.0,Purchase,12/23 12/19 1157 ELK VALLEY FUEL MART CRESCENT CITY CA $42.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2024-12-23,12/20,3538,CANVA* I04372-0513440 CAMDEN DE,300.0,Purchase,12/23 12/20 3538 CANVA* I04372-0513440 CAMDEN DE $300.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2024-12-27,12/26,1664,ADOBE *ADOBE 4085366000 CA,19.99,Purchase,12/27 12/26 1664 ADOBE *ADOBE 4085366000 CA $19.99,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2024-12-30,12/28,7434,Amazon.com*ZE55N46D0 Amzn.com/bill WA,68.0,Purchase,12/30 12/28 7434 Amazon.com*ZE55N46D0 Amzn.com/bill WA $68.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2024-12-30,12/29,4396,DOCKWA.COM NEWPORT RI,1062.5,Purchase,"12/30 12/29 4396 DOCKWA.COM NEWPORT RI $1,062.50",True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2024-12-31,12/30,4688,USPS PO 0518780457 CRESCENT CITY CA,0.73,Purchase,12/31 12/30 4688 USPS PO 0518780457 CRESCENT CITY CA $0.73,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2025-01-02,12/30,7924,ELK VALLEY FUEL MART CRESCENT CITY CA,20.0,Purchase,01/02 12/30 7924 ELK VALLEY FUEL MART CRESCENT CITY CA $20.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2025-01-06,01/03,3208,TMOBILE*AUTO PAY 800-937-8997 WA,318.0,Purchase,01/06 01/03 3208 TMOBILE*AUTO PAY 800-937-8997 WA $318.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2025-01-06,01/03,8139,ELK VALLEY FUEL MART CRESCENT CITY CA,55.0,Purchase,01/06 01/03 8139 ELK VALLEY FUEL MART CRESCENT CITY CA $55.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2025-01-08,01/07,8402,INTUIT *QBooks Online CL.INTUIT.COM CA,235.0,Purchase,01/08 01/07 8402 INTUIT *QBooks Online CL.INTUIT.COM CA $235.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2025-01-08,01/06,4402,ELK VALLEY FUEL MART CRESCENT CITY CA,45.0,Purchase,01/08 01/06 4402 ELK VALLEY FUEL MART CRESCENT CITY CA $45.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2025-01-13,01/10,2328,ELK VALLEY FUEL MART CRESCENT CITY CA,40.0,Purchase,01/13 01/10 2328 ELK VALLEY FUEL MART CRESCENT CITY CA $40.00,True,False,False
Sample2025 Credit Card Statements.pdf,3,8897,2025-01-15,01/14,6260,ELK VALLEY FUEL MART CRESCENT CITY CA,45.0,Purchase,01/15 01/14 6260 ELK VALLEY FUEL MART CRESCENT CITY CA $45.00,True,False,False
Sample2025 Credit Card Statements.pdf,4,8897,2025-01-08,01/08,ET,PAYMENT THANK YOU,-4248.0,Payment/Credit,"01/08 01/08 ET PAYMENT THANK YOU $4,248.00",True,False,False
